# traderx-risk-extract schema=1
# consensusSequence=1544719
# sessionDate=2026-07-22
# priceSnapshotVersion=8
# cutSha256=9ceeed3652486b71c919ed532e06f01a81a468dd2d23dc122bfcf30b56e3274d
# rows=18
# cutConsistency=every row is the replicated state machine's state at consensusSequence on the totally-ordered consensus log, not a read-model query
# netting=none; rows are un-netted at (accountId, security) grain
# quantityConvention=signed net position in contracts (options) or shares (equity)
# costBasisConvention=weighted average trade price per contract or share, excludes fees and excludes the contract multiplier
# marketValueConvention=quantity * closingMark * contractMultiplier
# unrealizedPnlConvention=(closingMark - costBasis) * quantity * contractMultiplier
# markSourceLegend=EOD_SNAPSHOT=YU06 published closing price for (sessionDate, priceSnapshotVersion); CLUSTER_LAST_TRADE_AT_N=matching-engine last trade price at consensusSequence
# optionIdentity=OCC symbol; underlying, expiry, call/put and strike are derivable from the security field
accountId,security,instrumentType,quantity,contractMultiplier,costBasis,closingMark,markSource,markQuality,marketValue,unrealizedPnl,currency,counterpartyId,nettingSetId
11413,JPM,EQUITY,-500,1,150.000000,198.913000,EOD_SNAPSHOT,OK,-99456.500000,-24456.500000,USD,CPTY-BLUECREST-SEC,NS-BLUE-ISDA-01
11413,GS,EQUITY,500,1,150.000000,403.504000,EOD_SNAPSHOT,OK,201752.000000,126752.000000,USD,CPTY-BLUECREST-SEC,NS-BLUE-ISDA-01
11413,COF,EQUITY,0,1,0.000000,149.658000,EOD_SNAPSHOT,OK,0.000000,0.000000,USD,CPTY-BLUECREST-SEC,NS-BLUE-ISDA-01
22214,AAPL,EQUITY,13,1,241.800000,240.361000,EOD_SNAPSHOT,OK,3124.693000,-18.707000,USD,CPTY-CASCADE-AM,NS-CASC-ISDA-01
22214,MSFT,EQUITY,4,1,388.500000,388.500000,EOD_SNAPSHOT,OK,1554.000000,0.000000,USD,CPTY-CASCADE-AM,NS-CASC-ISDA-01
22214,AAPL260918C00240000,OPTION,10,100,3.900010,10.025000,EOD_SNAPSHOT,OK,10025.000000,6124.990000,USD,CPTY-CASCADE-AM,NS-CASC-ISDA-01
22214,AAPL260918C00260000,OPTION,10,100,2.400000,3.214000,EOD_SNAPSHOT,OK,3214.000000,814.000000,USD,CPTY-CASCADE-AM,NS-CASC-ISDA-01
22214,AAPL261218C00240000,OPTION,0,100,0.000000,16.872000,EOD_SNAPSHOT,OK,0.000000,0.000000,USD,CPTY-CASCADE-AM,NS-CASC-ISDA-01
22214,AAPL261218C00260000,OPTION,5,100,2.400000,9.382000,EOD_SNAPSHOT,OK,4691.000000,3491.000000,USD,CPTY-CASCADE-AM,NS-CASC-ISDA-01
22214,MSFT260918C00390000,OPTION,0,100,0.000000,16.013000,EOD_SNAPSHOT,OK,0.000000,0.000000,USD,CPTY-CASCADE-AM,NS-CASC-ISDA-01
42422,AAPL,EQUITY,-13,1,241.800000,240.361000,EOD_SNAPSHOT,OK,-3124.693000,18.707000,USD,CPTY-DELTA-PRIME,NS-DELT-ISDA-01
42422,MSFT,EQUITY,-4,1,388.500000,388.500000,EOD_SNAPSHOT,OK,-1554.000000,0.000000,USD,CPTY-DELTA-PRIME,NS-DELT-ISDA-01
42422,AAPL260918C00240000,OPTION,-10,100,3.900000,10.025000,EOD_SNAPSHOT,OK,-10025.000000,-6125.000000,USD,CPTY-DELTA-PRIME,NS-DELT-ISDA-01
42422,AAPL260918C00260000,OPTION,-10,100,2.400000,3.214000,EOD_SNAPSHOT,OK,-3214.000000,-814.000000,USD,CPTY-DELTA-PRIME,NS-DELT-ISDA-01
42422,AAPL261218C00260000,OPTION,-5,100,2.400000,9.382000,EOD_SNAPSHOT,OK,-4691.000000,-3491.000000,USD,CPTY-DELTA-PRIME,NS-DELT-ISDA-01
42422,JPM,EQUITY,500,1,150.000000,198.913000,EOD_SNAPSHOT,OK,99456.500000,24456.500000,USD,CPTY-DELTA-PRIME,NS-DELT-ISDA-01
42422,GS,EQUITY,-500,1,150.000000,403.504000,EOD_SNAPSHOT,OK,-201752.000000,-126752.000000,USD,CPTY-DELTA-PRIME,NS-DELT-ISDA-01
42422,COF,EQUITY,0,1,0.000000,149.658000,EOD_SNAPSHOT,OK,0.000000,0.000000,USD,CPTY-DELTA-PRIME,NS-DELT-ISDA-01
